#Fri Nov  8 19:02:09 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               24              11               0               0
               0           -0.36           30.25
               1          -4.273           27.07
               2           15.37           23.14
               3           12.81           24.26
               4          -181.4           9.943
               5          -62.56           8.545
               6          -19.33           11.29
               7           39.01           9.232
               8          -95.93           8.181
               9          -11.18           7.402
              10           22.81            8.09
              11           69.45           8.763
              12           -63.3           9.451
              13           24.31           8.546
              14           37.02           6.842
              15            48.4           9.076
              16          -99.23           8.398
              17          -24.98           7.691
              18           10.41           11.34
              19           34.95           7.648
              20          -102.2           8.471
              21          -30.85           7.191
              22           15.09           8.093
              23           62.41           7.243
              24          -94.25           7.997
              25          -26.62           8.085
              26           33.07            7.09
              27           62.43           8.205
              28          -76.46           8.165
              29          -1.767           8.621
              30           39.03           7.489
              31           70.04           8.028
              32          -94.49           8.593
              33          -24.17           8.417
              34           20.24           7.691
              35           66.89             7.8
              36          -82.45           15.55
              37          -16.76           7.877
              38           17.94           9.064
              39           48.84           8.924
              40          -68.12           8.247
              41           5.033             7.6
              42           40.28           8.842
              43           94.04           9.072
              44          -57.82           11.31
              45           1.427           8.925
              46           34.63           8.007
              47           73.72           9.821
              48          -93.18           9.258
              49          -26.14           7.418
              50            0.44           9.977
              51            58.4            7.37
              52          -89.06            13.5
              53           -28.7           7.787
              54            9.41           7.981
              55            55.3           7.623
              56          -77.47           7.537
              57          -22.37           8.027
              58           47.97            7.65
              59           51.12           8.618
              60          -53.15            13.7
              61          -18.22           9.747
              62           46.95           7.041
              63           86.16            8.89
              64          -93.09           8.961
              65          -30.49           7.954
              66           17.34           9.775
              67           73.35           8.611
              68          -81.27           8.333
              69          -31.91           6.979
              70           22.67            9.38
              71           55.69           7.831
              72          -72.34           8.346
              73          -10.06           6.847
              74            36.4           7.977
              75           68.38           9.386
              76          -61.22           8.375
              77           10.37           7.248
              78           38.32           7.882
              79           88.87           9.744
              80          -82.85           8.623
              81          -31.94           7.216
              82           5.657           8.474
              83           64.23           6.988
              84          -86.15            8.33
              85          -43.06           7.492
              86           23.52           7.538
              87           69.55           6.994
              88           -81.4            7.71
              89           -5.41           7.923
              90           41.22           6.988
              91           77.25           7.986
              92          -30.64           7.453
              93           1.333           8.419
              94           60.12            7.33
              95             116           9.407
              96          -104.7           8.641
              97          -16.11           8.567
              98           19.62           9.045
              99           56.28           9.545
             100          -74.04           7.916
             101          -24.72           7.364
             102           40.48           8.557
             103           65.97           8.591
             104          -69.29           8.458
             105           5.457           7.641
             106           39.72           7.852
             107           74.43           8.786
             108           -54.5           7.532
             109           6.943           7.813
             110           47.17           8.231
             111           118.9           9.637
             112          -110.8            8.55
             113          -44.15           7.132
             114           10.07            7.91
             115           47.73           7.595
             116          -85.28            7.79
             117          -10.89           6.937
             118           23.26           7.301
             119           75.89           7.753
             120          -76.93           7.524
             121          -17.95           7.345
             122           38.09           7.487
             123           77.18           8.061
             124          -66.28           7.333
