#Fri Jan 31 14:34:14 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           68.74           31.52
               1          -23.37           25.88
               2           -17.6           23.09
               3          -29.11           23.49
               4          -125.4           9.502
               5          -45.43             8.5
               6          -22.24           11.57
               7           34.56           8.554
               8          -70.01           7.576
               9          -20.74           8.454
              10           20.36           8.295
              11           53.67           8.462
              12          -52.79           8.046
              13          -3.865           7.894
              14           23.29           8.066
              15           74.21           8.565
              16             2.5           7.936
              17          -35.87           6.763
              18          -11.91           12.39
              19            8.47           7.242
              20           -39.4            7.72
              21          -21.45           6.997
              22           8.718           8.211
              23           59.25            6.73
              24          -61.14           7.221
              25          -22.25           7.218
              26           6.455           7.296
              27           54.89           7.202
              28          -52.94           7.089
              29          -31.22           8.268
              30           25.47            6.93
              31           81.11           8.117
              32           -38.2           8.298
              33          -31.91           7.692
              34           19.88           7.825
              35           43.57           8.365
              36          -54.48           7.797
              37          -23.54           6.997
              38           3.827           8.596
              39            50.9            8.14
              40          -50.73           7.747
              41          -11.05           6.881
              42           23.52           9.281
              43           66.72           7.979
              44          -54.07           7.613
              45          -21.57           8.871
              46           8.887           7.274
              47           84.85           8.635
              48          -27.84           8.142
              49          -23.99           6.758
              50           11.66           10.43
              51           27.17           6.884
              52          -54.33           7.472
              53          -30.57           7.236
              54           11.49           7.945
              55           42.19           6.704
              56          -59.98            6.74
              57          -10.38           7.837
              58            9.86           7.167
              59           49.87           7.246
              60          -47.55           6.689
              61          -29.21           9.577
              62           9.127           6.926
              63           85.32            8.36
              64          -32.95           8.198
              65           -11.6           8.475
              66           6.218           10.51
              67           30.79           8.159
              68          -56.07            7.55
              69          -16.27           8.049
              70            11.9           9.426
              71           63.24            8.18
              72          -54.74           7.896
              73          -25.19           7.477
              74            12.3           8.237
              75           51.46            8.12
              76          -47.48           7.286
              77          -14.34           7.165
              78           19.02           7.443
              79           94.69            9.27
              80          -30.36           7.715
              81          -31.45           6.572
              82          -12.52           8.966
              83           44.24           6.413
              84          -63.41            7.61
              85          -22.31           6.843
              86           10.37           7.242
              87           63.89            6.64
              88          -57.14           6.843
              89          -8.167           7.304
              90            5.35           6.966
              91              68           7.379
              92          -37.43           6.387
              93          -11.48           8.646
              94           20.83           6.822
              95           102.8           8.448
              96          -40.54           7.346
              97          -32.42            6.47
              98           9.258           10.28
              99           35.74           9.153
             100           -57.6           7.375
             101          -20.74            6.91
             102          -11.28           8.455
             103           59.28           8.167
             104          -60.11           7.796
             105           2.545            9.94
             106           12.64           7.706
             107            68.1           8.166
             108          -21.75           7.133
             109          -10.41           7.783
             110           20.54           7.742
             111           84.78           9.043
             112           -52.4           7.691
             113          -50.32           6.444
             114           7.997            8.69
             115           31.55           6.876
             116          -63.24           7.497
             117           -5.95            6.71
             118           12.38            7.16
             119           53.09           6.695
             120          -58.31            6.83
             121          -22.24           6.889
             122           39.04           6.653
             123           60.47           7.778
             124          -24.93           6.655
             125          -12.59           10.28
             126           21.59           6.777
             127           140.1           9.435
APV               58              11               0               1
               0           70.45           31.25
               1          -26.02           26.87
               2              15           24.63
               3            1.76           24.45
               4          -160.7           9.502
               5             -63           8.537
               6          -13.79           11.11
               7           44.19           9.096
               8          -64.63           8.235
               9           -33.4           8.586
              10           14.77           8.151
              11           63.66           9.399
              12          -61.03           8.892
              13          -21.28           8.108
              14           20.84           8.269
              15           54.99           9.212
              16          -29.52           8.388
              17          -40.92           7.715
              18          -11.07           13.67
              19           9.268           7.131
              20          -64.08           8.046
              21           -32.6           7.002
              22           15.77           8.512
              23           45.95            7.24
              24          -69.57           7.098
              25          -34.23           7.465
              26           27.92           7.216
              27           43.62           7.274
              28          -47.41           7.318
              29          -20.45            8.72
              30           26.22           7.209
              31           74.61           8.334
              32          -51.59           8.249
              33          -44.81           8.043
              34           12.12           8.505
              35           47.75           8.365
              36          -65.56           8.365
              37          -34.73           7.715
              38           35.99           8.547
              39           74.41           8.875
              40          -66.16           7.901
              41          -28.53           7.203
              42           37.16           9.278
              43           73.77           9.103
              44          -51.83           8.524
              45           2.628            9.49
              46            17.7           7.433
              47           77.48           9.578
              48          -78.64           7.912
              49          -18.02           7.385
              50           3.597           11.07
              51           52.47           6.987
              52          -83.34           7.774
              53          -29.94           7.203
              54           28.86           8.497
              55           57.52           7.136
              56          -62.13           7.006
              57          -16.01           7.802
              58           35.82           7.522
              59           54.52           8.056
              60          -51.45           6.979
              61          -16.25           9.441
              62           33.63           6.864
              63           92.15           8.797
              64          -58.24           8.141
              65          -25.41           8.697
              66           12.15            10.8
              67           65.33           8.783
              68          -77.62           7.904
              69           -41.6           7.921
              70            33.9           9.713
              71           58.19           8.308
              72          -78.12           8.082
              73          -19.38           7.845
              74            41.3           9.063
              75           58.63           8.899
              76          -43.96           7.288
              77          -7.503           8.079
              78           50.23           7.954
              79           92.65           9.459
              80          -35.38           8.219
              81          -53.07            7.22
              82          -10.05            9.94
              83           32.66           6.891
              84          -59.81           8.428
              85          -40.48           7.034
              86           34.23           7.953
              87           51.13           6.815
              88          -67.86           7.095
              89          -37.82           7.753
              90           23.67            7.32
              91           68.06           7.844
              92          -52.35           6.825
              93          -16.02           9.386
              94           50.06           6.686
              95           121.7           9.397
              96          -63.95           8.321
              97          -35.67           6.792
              98           8.113           10.21
              99           49.49           9.419
             100           -58.4           8.214
             101          -27.41           7.511
             102           27.43           8.833
             103            65.3           8.301
             104          -76.16           8.434
             105           -13.6            10.3
             106           26.71           7.792
             107            61.9           8.873
             108          -50.75           7.528
             109          -18.14           8.982
             110           32.89           8.475
             111           132.3           9.717
             112          -47.59           8.559
             113          -31.94            6.81
             114           19.84           9.325
             115            43.5            6.99
             116          -68.78           7.597
             117          -38.19           6.899
             118           10.23            7.18
             119           68.52           7.113
             120          -61.43           7.377
             121           -7.15           8.023
             122            36.7           6.831
             123           66.08           7.862
             124           -35.7           6.761
             125         -0.3083            10.4
             126           39.72           6.937
             127           104.8           9.725
APV               58              11               0               2
               0           24.75           28.58
               1          -2.352           24.34
               2           39.12           22.38
               3          -19.29           21.93
               4          -157.7           9.265
               5          -48.05           8.864
               6           18.28           12.38
               7           20.55           9.496
               8          -56.76           7.899
               9           8.905            8.72
              10           37.19           8.894
              11           36.32           8.786
              12          -24.56           9.462
