#Sun Feb  9 11:36:29 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           13.65           29.58
               1           10.32           24.92
               2          0.9932           23.05
               3           3.245           22.96
               4         -0.5918           9.549
               5          -1.619           6.902
               6           2.714           10.91
               7           2.762           8.629
               8         -0.2109           7.012
               9          -4.027           7.456
              10           3.075           7.255
              11           0.619           8.292
              12           1.259           8.296
              13          0.7755           7.019
              14           2.395           7.947
              15          0.4694           7.937
              16         -0.1837           7.987
              17          -2.905           6.753
              18          -1.946            11.7
              19          0.9048           6.825
              20          -2.129           8.255
              21          -1.769           6.844
              22         -0.1837           8.203
              23         -0.3197           6.479
              24          -2.646           6.682
              25         -0.8503           7.035
              26          0.3061           7.486
              27           0.585            6.88
              28          -1.347           6.841
              29         -0.8367           8.281
              30           1.592           6.735
              31           1.864           8.197
              32           0.551           8.587
              33         -0.5714           7.876
              34           1.095           8.454
              35          -1.456           8.168
              36         -0.9592           7.755
              37          -1.143           6.958
              38          -1.286           8.894
              39           1.619           8.206
              40          -3.959           7.502
              41          -3.007           7.099
              42           3.034             8.5
              43          0.8367           8.307
              44         -0.6735           8.488
              45         -0.6259           8.065
              46         -0.6531           7.115
              47           1.231            8.23
              48           -2.02           7.938
              49          -0.619           7.037
              50         -0.6327           9.625
              51          0.5986           6.638
              52          0.2109            7.58
              53         -0.3469            7.13
              54          -1.143           7.564
              55          0.7755           7.116
              56           -1.19           6.782
              57         -0.6054           7.443
              58          0.8299           6.702
              59           1.429           6.825
              60          -1.279             6.2
              61          -1.531           8.569
              62           1.422           6.816
              63         -0.3946           8.177
              64          -2.565           7.793
              65         -0.9524           6.243
              66           4.252           10.01
              67           1.537           8.122
              68          -1.626            7.77
              69        -0.02721           6.281
              70           0.932           8.791
              71         -0.7143           7.807
              72           -3.15           7.512
              73          -1.476           6.238
              74          0.1088           7.857
              75           1.776           8.751
              76          -1.646           7.927
              77          -0.517            6.39
              78           1.374           7.417
              79          0.9796           8.624
              80         -0.4558           7.664
              81          -3.272            6.97
              82           -3.17           8.826
              83         0.06803           6.871
              84          -2.633           7.631
              85         -0.8912           6.791
              86         -0.2857           7.031
              87          -1.109           6.663
              88         -0.5238           7.253
              89          -2.646           7.383
              90         -0.2517           6.785
              91         -0.7075           7.801
              92          -2.129           6.447
              93          -3.333           8.321
              94         0.06122            6.64
              95            1.51           8.783
              96         -0.1769           7.369
              97         0.02041           6.954
              98           4.136           9.719
              99           2.435           8.767
             100          -1.741           8.138
             101          0.3197           6.475
             102           1.633           8.696
             103          0.4422           7.794
             104         -0.7415            7.14
             105            2.83           7.833
             106           1.361           7.902
             107          0.1837           8.121
             108          -0.415           7.106
             109        -0.05442           7.687
             110          0.2245           7.791
             111           2.633           8.928
             112         -0.4762           7.866
             113          -3.857           6.324
             114         0.02721            7.82
             115          0.9388            6.12
             116          -2.177           6.769
             117          -1.197           6.776
             118        -0.06122           6.777
             119           1.925            7.03
             120         -0.4218           6.764
             121          -2.857           6.772
             122           1.959            5.78
             123           1.143           7.273
             124          -1.469           6.894
             125          -4.218           9.779
             126           2.095           6.162
             127           3.054           9.586
APV               58              11               0               1
               0            15.2            28.4
               1           9.748           26.95
               2           1.497           23.69
               3          0.9796           23.83
               4          -2.707           9.809
               5           -3.49           8.483
               6         -0.1973           10.45
               7           2.204           8.812
               8          -1.333           8.053
               9           -1.66           7.088
              10         -0.3537           7.852
              11           2.034           8.628
              12          0.1701           8.764
              13           -1.83             7.4
              14          0.5102           7.785
              15          0.3265           9.041
              16          -2.313           8.126
              17         -0.8367           7.364
              18        -0.02041           13.13
              19          0.6054           7.985
              20           0.517           7.845
              21          0.4762           7.122
              22         -0.8912            8.86
